Player,Age,Shot_Volume,Assist,Goals
Nicolas Anelka,19,51,5,17
Nicolas Anelka,20,18,3,2
Nicolas Anelka,21,33,4,8
Nicolas Anelka,22,35,3,6
Nicolas Anelka,23,57,5,14
Nicolas Anelka,24,50,4,16
Nicolas Anelka,25,40,5,11
Nicolas Anelka,26,33,5,10
Nicolas Anelka,27,42,5,11
Nicolas Anelka,28,,4,11
Nicolas Anelka,29,55,2,19
Nicolas Anelka,30,44,7,11
Nicolas Anelka,31,23,4,6
Nicolas Anelka,32,8,1,1
Nicolas Anelka,33,0,0,0
Carlos Tevez,19,,,
Carlos Tevez,20,,,
Carlos Tevez,21,,,
Carlos Tevez,22,20,3,7
Carlos Tevez,23,52,6,14
Carlos Tevez,24,23,3,5
Carlos Tevez,25,58,7,23
Carlos Tevez,26,46,6,20
Carlos Tevez,27,16,3,4
Carlos Tevez,28,51,8,11
Carlos Tevez,29,57,7,19
Carlos Tevez,30,51,9,25
Carlos Tevez,31,17,1,4
Carlos Tevez,32,13,12,9
Carlos Tevez,33,0,2,3
Dimitar Berbatov,19,3,1,0
Dimitar Berbatov,20,18,1,8
Dimitar Berbatov,21,22,4,4
Dimitar Berbatov,22,39,7,16
Dimitar Berbatov,23,56,4,20
Dimitar Berbatov,24,52,6,21
Dimitar Berbatov,25,46,9,12
Dimitar Berbatov,26,54,9,15
Dimitar Berbatov,27,29,9,9
Dimitar Berbatov,28,39,5,12
Dimitar Berbatov,29,46,4,20
Dimitar Berbatov,30,10,0,7
Dimitar Berbatov,31,45,3,15
Dimitar Berbatov,32,27,5,10
Dimitar Berbatov,33,21,0,7
Fernando Torres,19,49,3,19
Fernando Torres,20,62,3,16
Fernando Torres,21,51,3,13
Fernando Torres,22,46,5,15
Fernando Torres,23,61,4,24
Fernando Torres,24,37,3,14
Fernando Torres,25,34,3,18
Fernando Torres,26,37,4,10
Fernando Torres,27,23,4,6
Fernando Torres,28,31,6,8
Fernando Torres,29,23,5,5
Fernando Torres,30,19,1,4
Fernando Torres,31,23,4,11
Fernando Torres,32,20,5,8
Fernando Torres,33,20,2,8
Robbie Keane,19,35,4,12
Robbie Keane,20,25,0,9
Robbie Keane,21,22,3,3
Robbie Keane,22,36,4,14
Robbie Keane,23,38,1,14
Robbie Keane,24,32,3,11
Robbie Keane,25,40,5,16
Robbie Keane,26,21,3,11
Robbie Keane,27,48,2,15
Robbie Keane,28,31,3,10
Robbie Keane,29,44,7,18
Robbie Keane,30,11,4,4
Robbie Keane,31,50,1,19
Robbie Keane,32,29,10,16
Robbie Keane,33,54,9,19
Didier Drogba,19,,,
Didier Drogba,20,,,
Didier Drogba,21,,,
Didier Drogba,22,,,
Didier Drogba,23,12,1,3
Didier Drogba,24,48,3,17
Didier Drogba,25,64,7,19
Didier Drogba,26,32,5,10
Didier Drogba,27,35,11,12
Didier Drogba,28,46,4,20
Didier Drogba,29,22,6,8
Didier Drogba,30,21,4,5
Didier Drogba,31,67,10,29
Didier Drogba,32,54,13,11
Didier Drogba,33,18,1,5
Wayne Rooney,19,73,9,16
Wayne Rooney,20,48,11,14
Wayne Rooney,21,53,9,12
Wayne Rooney,22,45,7,12
Wayne Rooney,23,61,3,26
Wayne Rooney,24,40,11,11
Wayne Rooney,25,72,4,27
Wayne Rooney,26,44,10,12
Wayne Rooney,27,57,10,17
Wayne Rooney,28,27,5,12
Wayne Rooney,29,25,6,8
Wayne Rooney,30,18,5,5
Wayne Rooney,31,11,2,10
Wayne Rooney,32,28,6,12
Wayne Rooney,33,23,7,11
Luis Suarez,19,34,4,10
Luis Suarez,20,51,14,17
Luis Suarez,21,72,12,22
Luis Suarez,22,104,16,35
Luis Suarez,23,53,9,11
Luis Suarez,24,42,3,11
Luis Suarez,25,74,5,23
Luis Suarez,26,94,12,31
Luis Suarez,27,38,13,16
Luis Suarez,28,70,17,40
Luis Suarez,29,57,12,28
Luis Suarez,30,54,12,25
Luis Suarez,31,54,6,21
Luis Suarez,32,41,8,16
Luis Suarez,33,40,3,21
Sergio Aguero,19,54,6,20
Sergio Aguero,20,38,9,17
Sergio Aguero,21,45,4,12
Sergio Aguero,22,55,3,20
Sergio Aguero,23,52,8,23
Sergio Aguero,24,41,2,12
Sergio Aguero,25,43,6,17
Sergio Aguero,26,63,8,26
Sergio Aguero,27,52,2,24
Sergio Aguero,28,54,4,20
Sergio Aguero,29,38,6,21
Sergio Aguero,30,41,8,21
Sergio Aguero,31,24,3,16
Sergio Aguero,32,10,1,4
Sergio Aguero,33,1,0,1
Thierry Henry,19,,,
Thierry Henry,20,15,2,3
Thierry Henry,21,51,8,15
Thierry Henry,22,64,9,16
Thierry Henry,23,82,5,20
Thierry Henry,24,84,20,20
Thierry Henry,25,101,6,23
Thierry Henry,26,79,14,25
Thierry Henry,27,67,8,24
Thierry Henry,28,41,4,7
Thierry Henry,29,33,7,12
Thierry Henry,30,63,7,19
Thierry Henry,31,21,1,4
Thierry Henry,32,13,2,2
Thierry Henry,33,31,3,15
